configuration,threshold,max_depth,min_samples_leaf,max_features,max_samples,class_weight,accuracy,balanced_accuracy,precision_high,recall_high,f1_high,precision_low,recall_low,f1_low,macro_f1,roc_auc
2,0.48,18,12,0.7,0.5,balanced,0.6168704994856555,0.5050226316780579,0.7215043491377143,0.76058726877617,0.7405304985034575,0.2895564642969487,0.2494579945799458,0.26801572281263647,0.504273110658047,0.5027797204881468
3,0.48,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.6127938431058788,0.49872204490052535,0.7181453634085213,0.7593682090422431,0.7381817245021511,0.27902175639193266,0.2380758807588076,0.2569276888206478,0.49755470666139945,0.5014507485934562
1,0.48,14,8,sqrt,0.5,balanced,0.6298624604716729,0.4987973042792918,0.7182164997615641,0.7982721153336514,0.7561312347817356,0.2787568694333902,0.19932249322493226,0.2324405467330331,0.4942858907573844,0.4975644947523838
2,0.5,18,12,0.7,0.5,balanced,0.5447860707890425,0.4986065164754048,0.7178938086540279,0.6041236020565007,0.6561132857471794,0.27974927675988426,0.3930894308943089,0.3268732394366197,0.49149326259189957,0.5027797204881468
3,0.5,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.5327085000190498,0.5024979197557916,0.7205960973001871,0.5715270048232364,0.6374626821554196,0.2835238854914473,0.4334688346883469,0.3428173391201843,0.49014001063780194,0.5014507485934562
1,0.5,14,8,sqrt,0.5,balanced,0.5392235303082257,0.4976247834111351,0.7172086460137259,0.5926750410770127,0.6490219977944164,0.27881006006006004,0.4025745257452574,0.3294522066977157,0.48923710224606604,0.4975644947523838
2,0.46,18,12,0.7,0.5,balanced,0.6630091058025679,0.5016824877264514,0.7196073275484267,0.8703026448295966,0.7878133621206669,0.2863808690580344,0.13306233062330625,0.18170043482283282,0.48475689847174985,0.5027797204881468
3,0.46,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.6664380691126605,0.4965602176295257,0.7172567892746649,0.8847193512482112,0.7922352215287501,0.2689075630252101,0.10840108401084012,0.1545147271849348,0.4733749743568425,0.5014507485934562
1,0.46,14,8,sqrt,0.5,balanced,0.6838876824017983,0.49995294403572116,0.7188043388258674,0.9202310913234748,0.8071406987285279,0.2809364548494983,0.07967479674796749,0.12414229916605088,0.4656414989472894,0.4975644947523838
2,0.44,18,12,0.7,0.5,balanced,0.695012763363432,0.5035663853219865,0.7203603018745436,0.9410081093973605,0.8160319904396387,0.3048094940662086,0.06612466124661247,0.10867386705266674,0.46235292874615275,0.5027797204881468
2,0.52,18,12,0.7,0.5,balanced,0.47075856288337714,0.4989237133188632,0.7178252495184732,0.4345682938463985,0.5413846610980884,0.2804047217537943,0.5632791327913279,0.374420175636118,0.4579024183671032,0.5027797204881468
3,0.44,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.697755934011506,0.4996583163875843,0.71868,0.9522976625854667,0.8191579091344291,0.27826784282277467,0.0470189701897019,0.08044511417642286,0.449801511655426,0.5014507485934562
3,0.52,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.4456509315350326,0.5026615383422081,0.7217257318952234,0.37239624741612337,0.49129431508286137,0.28288517441860467,0.6329268292682927,0.3910095429432446,0.441151929013053,0.5014507485934562
1,0.44,14,8,sqrt,0.5,balanced,0.7068617365794186,0.500382211208024,0.7189839677002078,0.9721736365081889,0.8266258055793411,0.2866847826086957,0.02859078590785908,0.05199605717102021,0.4393109313751806,0.4975644947523838
2,0.42,18,12,0.7,0.5,balanced,0.706899836171753,0.4997487224434973,0.7187206388975885,0.9730746806593523,0.8267771498052284,0.2773826458036984,0.026422764227642278,0.0482494123469009,0.4375132810760647,0.5027797204881468
1,0.52,14,8,sqrt,0.5,balanced,0.43624033222844516,0.5003231542491924,0.7191943127962085,0.3538983410187099,0.47437035984512094,0.281377114897129,0.6467479674796748,0.39214558600008215,0.43325797292260154,0.4975644947523838
3,0.42,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.7109764925515297,0.49982065300061496,0.7187512119449292,0.9822971325594955,0.8301083938009496,0.27705627705627706,0.017344173441734417,0.03264473348635552,0.43137656364365257,0.5014507485934562
2,0.4,18,12,0.7,0.5,balanced,0.7141768583076161,0.5000255425117457,0.7188354449878692,0.9893464779774209,0.8326716331355668,0.28214285714285714,0.010704607046070461,0.0206266318537859,0.42664913249467634,0.5027797204881468
1,0.42,14,8,sqrt,0.5,balanced,0.7144435554539567,0.49955106153860074,0.7186418518803354,0.9905655377113478,0.8329730572950327,0.26141078838174275,0.00853658536585366,0.016533263351266238,0.42475316032314947,0.4975644947523838
3,0.4,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.7158913399626624,0.4998568714419852,0.718766776593297,0.9934806805533472,0.8340861052397375,0.27218934911242604,0.006233062330623307,0.012187044641674393,0.42313657494070595,0.5014507485934562
1,0.4,14,8,sqrt,0.5,balanced,0.7176058216177087,0.500059444782713,0.7188491077910665,0.997137859755128,0.8354278609174475,0.2894736842105263,0.002981029810298103,0.005901287553648069,0.42066457423554776,0.4975644947523838
2,0.54,18,12,0.7,0.5,balanced,0.4066750485769802,0.5033115419403518,0.723594895465653,0.2825038426882917,0.40635840353752906,0.28303585615168686,0.7241192411924119,0.40699135600319863,0.4066748797703639,0.5027797204881468
3,0.54,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.37352840324608527,0.5008801016615668,0.7205240174672489,0.20989028462394657,0.3250831178426302,0.28162498192858176,0.791869918699187,0.4154846965980591,0.37028390722034465,0.5014507485934562
1,0.54,14,8,sqrt,0.5,balanced,0.35691698098830343,0.4979879050658848,0.7142241379310345,0.1756506068797371,0.2819585655336708,0.2801869764428195,0.8203252032520325,0.41770448821885675,0.3498315268762638,0.4975644947523838
2,0.56,18,12,0.7,0.5,balanced,0.3554691964795977,0.5027970181514504,0.7256944444444444,0.1661631419939577,0.27041014361495663,0.2825283896565878,0.8394308943089431,0.42276589210768756,0.3465880178613221,0.5027797204881468
3,0.56,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.3309330590162685,0.5028486741378783,0.7294448348559381,0.11003339163619018,0.19122184866209183,0.2824665612580659,0.8956639566395664,0.4294857217114454,0.3103537851867686,0.5014507485934562
2,0.58,18,12,0.7,0.5,balanced,0.32060806949365644,0.49983300950039233,0.718078381795196,0.09031642550484974,0.16045197740112993,0.2811007790902237,0.9093495934959349,0.4294490305240929,0.2949505039626114,0.5027797204881468
1,0.56,14,8,sqrt,0.5,balanced,0.3158075208595268,0.5008250306704053,0.7231222385861561,0.07807282556845285,0.14092996555683124,0.2815365551425031,0.9235772357723577,0.4315289648622982,0.2862294652095647,0.4975644947523838
3,0.58,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.30437764315921817,0.5008770206162866,0.7257227575982209,0.05188954258758679,0.09685397704788286,0.2815487187725922,0.9498644986449865,0.4343515707292893,0.2656027738885861,0.5014507485934562
2,0.6,18,12,0.7,0.5,balanced,0.29991999085609783,0.4995500919788972,0.7146596858638743,0.04340912704722531,0.08184679958027283,0.2809848213218597,0.9556910569105691,0.4342846587235615,0.25806572915191717,0.5027797204881468
1,0.58,14,8,sqrt,0.5,balanced,0.2936716577132625,0.499741310698208,0.7152230971128609,0.028886415434356282,0.05553008304039941,0.2810672944869531,0.9705962059620596,0.43590445762969726,0.24571727033504834,0.4975644947523838
3,0.6,16,15,0.5,0.5,"{'High': 1.0, 'Low': 2.6}",0.2915761801348726,0.5007174526348539,0.7317487266553481,0.02284411936184873,0.04430509868421053,0.2814716657572687,0.9785907859078591,0.4371935347175979,0.24074931670090421,0.5014507485934562
1,0.6,14,8,sqrt,0.5,balanced,0.28525164780736845,0.49928819235719785,0.6917562724014337,0.010229501245561032,0.02016086911104147,0.2808841651263093,0.9883468834688347,0.4374475230898405,0.22880419610044098,0.4975644947523838
