modele,accuracy,precision,rappel,f1,auc,recall_low,recall_high,low_low,low_high,high_low,high_high
Arbre sklearn,0.6414,0.4998,0.4998,0.4921,0.4987,0.1764,0.8232,1302,6078,3335,15533
Régression logistique,0.6103,0.4995,0.4996,0.4988,0.4966,0.2466,0.7525,1820,5560,4670,14198
Arbre maison,0.6453,0.5032,0.5022,0.4941,0.5022,0.1753,0.8291,1294,6086,3224,15644
Random Forest,0.6667,0.5016,0.5008,0.481,0.4968,0.122,0.8797,900,6480,2269,16599
XGBoost final,0.5603,0.5008,0.5009,0.4969,0.5006,0.365,0.6367,2694,4686,6855,12013
XGBoost maison,0.561,0.4992,0.4991,0.4957,0.4998,0.3577,0.6405,2640,4740,6783,12085
XGBoost,0.7189,0.8594,0.5001,0.4184,0.4991,0.0001,1.0,1,7379,0,18868
MLP,0.7188,0.3594,0.5,0.4182,0.5046,0.0,1.0,0,7380,0,18868
MLP (pos_weight),0.452,0.5004,0.5005,0.4455,0.5019,0.6111,0.3898,4510,2870,11513,7355
