configuration,max_depth,min_samples_leaf,max_features,accuracy,balanced_accuracy,precision_high,recall_high,f1_high,macro_f1,roc_auc
5,16.0,5,0.7,0.6323008343810721,0.5040408339764746,0.7208800690250216,0.7971060581968517,0.7570792116589896,0.5005137538905994,0.5084684432735036
2,12.0,1,sqrt,0.5827713643464015,0.5005261800511152,0.7191340936773336,0.6884507340859702,0.703457986947927,0.4999461473448277,0.4997404165487036
1,8.0,1,sqrt,0.534727778412771,0.5034487454112894,0.7212580623711683,0.574919171039381,0.6398277590986846,0.4914223796569386,0.5018747406427793
3,20.0,2,sqrt,0.674172286356536,0.5018987318589994,0.7196830940920901,0.8955318810621721,0.7980351407519365,0.47773678219862836,0.5011428954327705
4,,5,sqrt,0.6873928448965596,0.5024323128825182,0.719889457185283,0.9250543276620554,0.8096773445292385,0.4676117725523737,0.5057959417247218
